bin,county,primary_owner,primary_maintenance,condition_rating
3301500,ALBANY,30 - County,30 - County,4.918
3301510,ALBANY,30 - County,30 - County,6.83
3301520,ALBANY,30 - County,30 - County,4.875
3301530,ALBANY,30 - County,30 - County,6.517
3301540,ALBANY,30 - County,30 - County,7
3301550,ALBANY,30 - County,30 - County,6.489
3301560,ALBANY,30 - County,30 - County,5.038
3301570,ALBANY,30 - County,30 - County,5.07
3301580,ALBANY,30 - County,30 - County,5.745
3301590,ALBANY,30 - County,30 - County,5.275
3302920,ALBANY,30 - County,30 - County,5.481
3302970,ALBANY,60 - Railroad,40 - Town,5.439
3302980,ALBANY,40 - Town,40 - Town,6.058
3363610,ALBANY,30 - County,30 - County,6
3369300,ALBANY,30 - County,30 - County,7
3370070,ALBANY,30 - County,30 - County,6.193
4005580,ALBANY,NYSDOT,NYSDOT,6.169
4033181,ALBANY,NYSDOT,NYSDOT,5.033
4033182,ALBANY,NYSDOT,NYSDOT,4.82
4093220,ALBANY,NYSDOT,NYSDOT,4.522
5006599,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,3.87
5038059,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.297
5038119,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.222
5053419,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.594
5513329,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.194
5513339,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,3.87
5513349,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.094
5513350,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.29
5513491,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.702
5513492,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.93
5513500,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.813
5513511,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.203
5513512,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.304
5513520,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.906
5513530,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.623
5513549,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.101
5513550,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.727
5513561,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.13
5513562,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.899
5513570,ALBANY,42 - City,2L - NYS Thruway Authority,4.556
5513580,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.431
5513599,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.875
5513600,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.594
5513610,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,5.529
5513640,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,6.738
5513650,ALBANY,2L - NYS Thruway Authority,2L - NYS Thruway Authority,4.21
5524230,ALBANY,20 - State - Other,20 - State - Other,6.436
5524420,ALBANY,NYSDOT,NYSDOT,5.406
